timestamp,mode,market,symbol,action,side,direction,leverage,price,quantity,notional_usdt,margin_usdt,risk_at_stop_usdt,reason,status,order_id,raw_response
2026-04-15T13:32:18+00:00,реальный,USDT-M Futures,ARIAUSDT,OPEN_SHORT,SELL,SHORT,3,0.1049,571,59.8979,19.96596666666666666666666667,1.197958,"импульс вниз -7.09%, RSI=21.3, объем/средний=4.00, EMA тренд вниз",НОВЫЙ,68770651,"{""orderId"": 68770651, ""symbol"": ""ARIAUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ737a169b93ff613b03c390"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""571"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776259946001}"
2026-04-15T13:35:30+00:00,реальный,USDT-M Futures,RAVEUSDT,OPEN_SHORT,SELL,SHORT,3,11.3236,5,56.6180,18.87266666666666666666666667,1.132360,"импульс вниз -2.80%, RSI=28.5, объем/средний=1.69, EMA тренд вниз",НОВЫЙ,56422460,"{""orderId"": 56422460, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJb5657cc540d039c5f72cc5"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776260138023}"
2026-04-15T13:44:22+00:00,реальный,USDT-M Futures,RAVEUSDT,CLOSE_SHORT,BUY,SHORT,3,11.67558,5,58.37790,19.45930,0,"стоп-лосс SHORT: вход=11.40571, текущая=11.67558, стоп=11.6338242",НОВЫЙ,56427790,"{""orderId"": 56427790, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ5e8e7d7ed4c0ae4932e0bb"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776260669620}"
2026-04-15T13:47:33+00:00,реальный,USDT-M Futures,RAVEUSDT,OPEN_LONG,BUY,LONG,3,11.84584,5,59.22920,19.74306666666666666666666667,1.1845840,"импульс вверх 3.23%, RSI=58.2, объем/средний=2.37, EMA тренд вверх",НОВЫЙ,56430344,"{""orderId"": 56430344, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJbc9d132596bbd1fd26b3e5"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776260860833}"
2026-04-15T13:53:52+00:00,реальный,USDT-M Futures,RAVEUSDT,CLOSE_LONG,SELL,LONG,3,11.7055,5,58.5275,19.50916666666666666666666667,0,"стоп-лосс LONG: вход=11.95134, текущая=11.7055, стоп=11.7123132",НОВЫЙ,56433988,"{""orderId"": 56433988, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJb65be03aa558736beb64f2"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776261239784}"
2026-04-15T14:25:34+00:00,реальный,USDT-M Futures,RAVEUSDT,OPEN_LONG,BUY,LONG,3,11.87416,5,59.37080,19.79026666666666666666666667,1.1874160,"импульс вверх 1.39%, RSI=56.8, объем/средний=2.87, EMA тренд вверх",НОВЫЙ,56453795,"{""orderId"": 56453795, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJef12119cccd83431867ade"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776263141990}"
2026-04-15T14:31:55+00:00,реальный,USDT-M Futures,RAVEUSDT,CLOSE_LONG,SELL,LONG,3,12.36171,5,61.80855,20.60285,0,"тейк-профит LONG: вход=11.89889, текущая=12.36171, цель=12.2558567",НОВЫЙ,56458837,"{""orderId"": 56458837, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJf68cd865a6f644f4f2d62c"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776263522702}"
2026-04-15T14:35:06+00:00,реальный,USDT-M Futures,PUFFERUSDT,OPEN_SHORT,SELL,SHORT,3,0.02627,2283,59.97441,19.99147,1.1994882,"импульс вниз -1.57%, RSI=15.9, объем/средний=1.60, EMA тренд вниз",НОВЫЙ,58580395,"{""orderId"": 58580395, ""symbol"": ""PUFFERUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ9b4ddeaf22fc020a4bd3aa"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""2283"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776263713360}"
2026-04-15T14:44:34+00:00,реальный,USDT-M Futures,ARIAUSDT,CLOSE_SHORT,BUY,SHORT,3,0.11769,571,67.20099,22.40033,0,"стоп-лосс SHORT: вход=0.10659, текущая=0.11769, стоп=0.1087218",НОВЫЙ,68806488,"{""orderId"": 68806488, ""symbol"": ""ARIAUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ407c9dc219c5f5a67633c3"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""571"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776264281571}"
2026-04-15T15:09:54+00:00,реальный,USDT-M Futures,ARIAUSDT,OPEN_SHORT,SELL,SHORT,3,0.10954,547,59.91838,19.97279333333333333333333333,1.1983676,"импульс вниз -1.32%, RSI=44.9, объем/средний=1.65, EMA тренд вниз",НОВЫЙ,68814896,"{""orderId"": 68814896, ""symbol"": ""ARIAUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ1f577a4dabdf94b759f286"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""547"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776265801174}"
2026-04-15T15:13:07+00:00,реальный,USDT-M Futures,RAVEUSDT,OPEN_SHORT,SELL,SHORT,3,12.34756,4,49.39024,16.46341333333333333333333333,0.9878048,"импульс вниз -3.02%, RSI=38.2, объем/средний=4.48, EMA тренд вниз",НОВЫЙ,56484145,"{""orderId"": 56484145, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ497027301f10477a1131f3"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""4"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776265994223}"
2026-04-15T15:19:26+00:00,реальный,USDT-M Futures,RAVEUSDT,CLOSE_SHORT,BUY,SHORT,3,12.77919,4,51.11676,17.03892,0,"стоп-лосс SHORT: вход=12.34693, текущая=12.77919, стоп=12.5938686",НОВЫЙ,56487329,"{""orderId"": 56487329, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ3484e1e69ec71b3f6fdff3"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""4"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776266373167}"
2026-04-15T15:38:17+00:00,реальный,USDT-M Futures,RAVEUSDT,OPEN_SHORT,SELL,SHORT,3,11.95722,5,59.78610,19.92870,1.1957220,"импульс вниз -2.86%, RSI=26.9, объем/средний=3.82, EMA тренд вниз",НОВЫЙ,56497120,"{""orderId"": 56497120, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ119a979a6c97fb9a438f2c"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776267504496}"
2026-04-15T15:47:45+00:00,реальный,USDT-M Futures,RAVEUSDT,CLOSE_SHORT,BUY,SHORT,3,12.18446,5,60.92230,20.30743333333333333333333333,0,"стоп-лосс SHORT: вход=11.94163, текущая=12.18446, стоп=12.1804626",НОВЫЙ,56501729,"{""orderId"": 56501729, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ41e3e96d09f204761b28e3"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776268072912}"
2026-04-15T16:03:32+00:00,реальный,USDT-M Futures,PUFFERUSDT,CLOSE_SHORT,BUY,SHORT,3,0.027,2283,61.641,20.547,0,"стоп-лосс SHORT: вход=0.02624, текущая=0.027, стоп=0.0267648",НОВЫЙ,58629145,"{""orderId"": 58629145, ""symbol"": ""PUFFERUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ8cd75f54071cdb0ec7c329"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""2283"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776269020016}"
2026-04-15T16:31:58+00:00,реальный,USDT-M Futures,RAVEUSDT,OPEN_SHORT,SELL,SHORT,3,11.68634,5,58.43170,19.47723333333333333333333333,1.1686340,"импульс вниз -1.40%, RSI=23.6, объем/средний=3.29, EMA тренд вниз",НОВЫЙ,56526166,"{""orderId"": 56526166, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ61719a68c763887d346c89"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776270725921}"
