timestamp,mode,market,symbol,action,side,direction,leverage,price,quantity,notional_usdt,margin_usdt,risk_at_stop_usdt,reason,status,order_id,raw_response
2026-04-15T16:41:27+00:00,реальный,USDT-M Futures,ARIAUSDT,CLOSE_SHORT,BUY,SHORT,3,0.1059,547,57.9273,19.3091,0,"тейк-профит SHORT: вход=0.1095, текущая=0.1059, цель=0.106215",НОВЫЙ,68844985,"{""orderId"": 68844985, ""symbol"": ""ARIAUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ7d573d51658a728dbd26fb"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""547"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776271295001}"
2026-04-15T16:54:09+00:00,реальный,USDT-M Futures,RAVEUSDT,CLOSE_SHORT,BUY,SHORT,3,11.41876,5,57.09380,19.03126666666666666666666667,0,"тейк-профит SHORT: вход=11.81457, текущая=11.41876, цель=11.4601329",НОВЫЙ,56537265,"{""orderId"": 56537265, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJb2089d84f2cc59dc127c7"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776272056684}"
2026-04-15T17:09:57+00:00,реальный,USDT-M Futures,QUICKUSDT,OPEN_SHORT,SELL,SHORT,3,0.0116,5172,59.9952,19.9984,1.199904,"импульс вниз -1.02%, RSI=26.7, объем/средний=1.67, EMA тренд вниз",НОВЫЙ,117322486,"{""orderId"": 117322486, ""symbol"": ""QUICKUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJcd0dcf7f002c909437dd2e"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5172"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776273004967}"
2026-04-15T17:16:17+00:00,реальный,USDT-M Futures,RAVEUSDT,OPEN_LONG,BUY,LONG,3,11.89145,5,59.45725,19.81908333333333333333333333,1.1891450,"импульс вверх 3.11%, RSI=60.7, объем/средний=1.67, EMA тренд вверх",НОВЫЙ,56549704,"{""orderId"": 56549704, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ9c51059289581aa7c37ba7"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776273384800}"
2026-04-15T17:19:28+00:00,реальный,USDT-M Futures,BLESSUSDT,OPEN_SHORT,SELL,SHORT,3,0.01233,4866,59.99778,19.99926,1.1999556,"импульс вниз -2.07%, RSI=35.5, объем/средний=3.57, EMA тренд вниз",НОВЫЙ,207119680,"{""orderId"": 207119680, ""symbol"": ""BLESSUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ2d94d64b5b4bce6365e0a7"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""4866"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776273575551}"
2026-04-15T17:22:38+00:00,реальный,USDT-M Futures,BLESSUSDT,CLOSE_SHORT,BUY,SHORT,3,0.01168,4866,56.83488,18.94496,0,"тейк-профит SHORT: вход=0.01216, текущая=0.01168, цель=0.0117952",НОВЫЙ,207122052,"{""orderId"": 207122052, ""symbol"": ""BLESSUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJe76ef6222d36735977b639"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""4866"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776273765409}"
2026-04-15T17:25:48+00:00,реальный,USDT-M Futures,RAVEUSDT,CLOSE_LONG,SELL,LONG,3,11.48629,5,57.43145,19.14381666666666666666666667,0,"стоп-лосс LONG: вход=11.76417, текущая=11.48629, стоп=11.5288866",НОВЫЙ,56558252,"{""orderId"": 56558252, ""symbol"": ""RAVEUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ70f65cd6987fc14de605e8"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776273955119}"
2026-04-15T17:25:49+00:00,реальный,USDT-M Futures,BLESSUSDT,OPEN_SHORT,SELL,SHORT,3,0.01111,5400,59.99400,19.99800,1.1998800,"импульс вниз -8.33%, RSI=14.4, объем/средний=2.58, EMA тренд вниз",НОВЫЙ,207124120,"{""orderId"": 207124120, ""symbol"": ""BLESSUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJ636f5451295b01040977f0"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5400"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776273956413}"
2026-04-15T17:38:26+00:00,реальный,USDT-M Futures,BLESSUSDT,CLOSE_SHORT,BUY,SHORT,3,0.01079,5400,58.26600,19.42200,0,"тейк-профит SHORT: вход=0.01123, текущая=0.01079, цель=0.0108931",НОВЫЙ,207131171,"{""orderId"": 207131171, ""symbol"": ""BLESSUSDT"", ""status"": ""NEW"", ""clientOrderId"": ""x-Cb7ytekJb53645794a03f8d8cfd629"", ""price"": ""0.0000000"", ""avgPrice"": ""0.00"", ""origQty"": ""5400"", ""executedQty"": ""0"", ""cumQty"": ""0"", ""cumQuote"": ""0.0000000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776274714012}"
2026-04-15T18:06:52+00:00,реальный,USDT-M Futures,BLESSUSDT,OPEN_SHORT,SELL,SHORT,3,0.01006,5964,59.99784,19.99928,1.1999568,"импульс вниз -4.01%, RSI=27.1, объем/средний=3.24, EMA тренд вниз",ИСПОЛНЕН,207144104,"{""orderId"": 207144104, ""symbol"": ""BLESSUSDT"", ""status"": ""FILLED"", ""clientOrderId"": ""x-Cb7ytekJb11c9036f8765561f4b305"", ""price"": ""0.0000000"", ""avgPrice"": ""0.0098600"", ""origQty"": ""5964"", ""executedQty"": ""5964"", ""cumQty"": ""5964"", ""cumQuote"": ""58.8050400"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776276419025}"
2026-04-15T18:10:02+00:00,реальный,USDT-M Futures,BLESSUSDT,CLOSE_SHORT,BUY,SHORT,3,0.00948,5964,56.53872,18.84624,0,"тейк-профит SHORT: вход=0.00986, текущая=0.00948, цель=0.0095642",ИСПОЛНЕН,207146006,"{""orderId"": 207146006, ""symbol"": ""BLESSUSDT"", ""status"": ""FILLED"", ""clientOrderId"": ""x-Cb7ytekJ5bcf14fec1f2ca76b133ad"", ""price"": ""0.0000000"", ""avgPrice"": ""0.0092500"", ""origQty"": ""5964"", ""executedQty"": ""5964"", ""cumQty"": ""5964"", ""cumQuote"": ""55.1670000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776276609486}"
2026-04-15T18:10:04+00:00,реальный,USDT-M Futures,RAVEUSDT,OPEN_SHORT,SELL,SHORT,3,11.62557,5,58.12785,19.37595,1.1625570,"импульс вниз -2.11%, RSI=36.5, объем/средний=2.82, EMA тренд вниз",ИСПОЛНЕН,56579928,"{""orderId"": 56579928, ""symbol"": ""RAVEUSDT"", ""status"": ""FILLED"", ""clientOrderId"": ""x-Cb7ytekJ763ae759e8d60ea71474b8"", ""price"": ""0.0000000"", ""avgPrice"": ""11.6241100"", ""origQty"": ""5"", ""executedQty"": ""5"", ""cumQty"": ""5"", ""cumQuote"": ""58.1205500"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776276610867}"
2026-04-15T18:13:13+00:00,реальный,USDT-M Futures,RAVEUSDT,CLOSE_SHORT,BUY,SHORT,3,12.22523,5,61.12615,20.37538333333333333333333333,0,"стоп-лосс SHORT: вход=11.62411, текущая=12.22523, стоп=11.8565922",ИСПОЛНЕН,56582056,"{""orderId"": 56582056, ""symbol"": ""RAVEUSDT"", ""status"": ""FILLED"", ""clientOrderId"": ""x-Cb7ytekJ12c47205078d4518745e7e"", ""price"": ""0.0000000"", ""avgPrice"": ""12.2827800"", ""origQty"": ""5"", ""executedQty"": ""5"", ""cumQty"": ""5"", ""cumQuote"": ""61.4139000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776276800854}"
2026-04-15T18:13:15+00:00,реальный,USDT-M Futures,BLESSUSDT,OPEN_SHORT,SELL,SHORT,3,0.00838,7159,59.99242,19.99747333333333333333333333,1.1998484,"импульс вниз -14.84%, RSI=9.7, объем/средний=3.59, EMA тренд вниз",ИСПОЛНЕН,207148055,"{""orderId"": 207148055, ""symbol"": ""BLESSUSDT"", ""status"": ""FILLED"", ""clientOrderId"": ""x-Cb7ytekJ6a232f8212463c042e5237"", ""price"": ""0.0000000"", ""avgPrice"": ""0.0080100"", ""origQty"": ""7159"", ""executedQty"": ""7159"", ""cumQty"": ""7159"", ""cumQuote"": ""57.3435900"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776276802165}"
2026-04-15T18:14:47+00:00,реальный,USDT-M Futures,BLESSUSDT,CLOSE_SHORT,BUY,SHORT,3,0.00824,7159,58.99016,19.66338666666666666666666667,0,"стоп-лосс SHORT: вход=0.00801, текущая=0.00824, стоп=0.0081702",ИСПОЛНЕН,207149056,"{""orderId"": 207149056, ""symbol"": ""BLESSUSDT"", ""status"": ""FILLED"", ""clientOrderId"": ""x-Cb7ytekJed0c9499e8288c0a857c1"", ""price"": ""0.0000000"", ""avgPrice"": ""0.0083100"", ""origQty"": ""7159"", ""executedQty"": ""7159"", ""cumQty"": ""7159"", ""cumQuote"": ""59.4912900"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": true, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776276894057}"
2026-04-15T18:17:58+00:00,реальный,USDT-M Futures,RAVEUSDT,OPEN_LONG,BUY,LONG,3,12.27962,4,49.11848,16.37282666666666666666666667,0.9823696,"импульс вверх 3.09%, RSI=67.1, объем/средний=1.59, EMA тренд вверх",ИСПОЛНЕН,56584730,"{""orderId"": 56584730, ""symbol"": ""RAVEUSDT"", ""status"": ""FILLED"", ""clientOrderId"": ""x-Cb7ytekJbc94e08dbb5b4b591fe3b6"", ""price"": ""0.0000000"", ""avgPrice"": ""12.3840500"", ""origQty"": ""4"", ""executedQty"": ""4"", ""cumQty"": ""4"", ""cumQuote"": ""49.5362000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""BUY"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776277084850}"
2026-04-15T18:24:18+00:00,реальный,USDT-M Futures,ARIAUSDT,OPEN_SHORT,SELL,SHORT,3,0.10474,572,59.91128,19.97042666666666666666666667,1.1982256,"импульс вниз -1.21%, RSI=36.4, объем/средний=2.11, EMA тренд вниз",ИСПОЛНЕН,68880688,"{""orderId"": 68880688, ""symbol"": ""ARIAUSDT"", ""status"": ""FILLED"", ""clientOrderId"": ""x-Cb7ytekJ9fdc9a22db426b6e10ddec"", ""price"": ""0.0000000"", ""avgPrice"": ""0.1046000"", ""origQty"": ""572"", ""executedQty"": ""572"", ""cumQty"": ""572"", ""cumQuote"": ""59.8312000"", ""timeInForce"": ""GTC"", ""type"": ""MARKET"", ""reduceOnly"": false, ""closePosition"": false, ""side"": ""SELL"", ""positionSide"": ""BOTH"", ""stopPrice"": ""0.0000000"", ""workingType"": ""CONTRACT_PRICE"", ""priceProtect"": false, ""origType"": ""MARKET"", ""priceMatch"": ""NONE"", ""selfTradePreventionMode"": ""EXPIRE_MAKER"", ""goodTillDate"": 0, ""updateTime"": 1776277465157}"
